Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,crime_deprivation_rank_2006,crime_deprivation_rank_2009,crime_deprivation_rank_2012,crime_local_rank_2006,crime_local_rank_2009,crime_local_rank_2012
S01003556,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,1423,4779,2660,289,651,465
S01003231,Baillieston West,Baillieston,Glasgow Baillieston,1813,3363,2668,351,524,466
S01003120,Pollok South and West,Greater Pollok,Glasgow Pollok,1731,3965,2671,336,583,467
S01003291,Penilee,Craigton,Glasgow Pollok,3033,2024,2677,505,360,468
S01003193,Baillieston East,Baillieston,Glasgow Baillieston,3768,3114,2679,576,485,469
S01003051,Darnley North,Greater Pollok,Glasgow Pollok,1415,2435,2680,287,405,470
S01003574,Ruchill,Canal,Glasgow Maryhill,4007,4100,2712,592,594,471
S01003306,Craigton,Govan,Glasgow Pollok,3347,2871,2730,536,458,472
S01003598,Barmulloch,North East,Glasgow Springburn,2728,2612,2750,468,422,473
S01003608,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,2498,4907,2780,440,658,474
S01003647,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,1310,2425,2803,272,402,475
S01003069,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,4681,4107,2822,648,596,476
S01003542,Dowanhill,Hillhead,Glasgow Kelvin,2969,2794,2826,499,446,477
S01003384,Drumoyne and Shieldhall,Govan,Glasgow Govan,2651,2146,2835,461,370,478
S01003615,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,954,814,2836,208,146,479
S01003422,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,1868,3387,2838,360,527,480
S01003565,Springburn,Springburn,Glasgow Springburn,1888,1865,2865,367,334,481
S01003040,Castlemilk,Linn,Glasgow Cathcart,3134,3530,2877,518,544,482
S01003307,Cardonald North,Craigton,Glasgow Pollok,1875,3457,2881,362,536,483
S01003498,Broomhill,Partick West,Glasgow Kelvin,4270,2222,2905,621,379,484
S01003214,Baillieston West,Baillieston,Glasgow Baillieston,4022,4644,2906,595,639,485
S01003618,Knightswood Park East,Garscadden/Scotstounhill,Glasgow Anniesland,4066,3511,2909,603,541,486
S01003284,Craigton,Govan,Glasgow Pollok,2154,3409,2923,397,532,487
S01003626,Robroyston and Millerston,North East,Glasgow Springburn,1953,2966,2924,374,465,488
S01003674,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,2776,3252,2943,478,507,489
S01003477,Glasgow Harbour and  Partick South,Partick West,Glasgow Kelvin,3746,3748,2947,575,567,490
S01003697,Blairdardie West,Drumchapel/Anniesland,Glasgow Anniesland,2416,3733,2949,435,565,491
S01003363,Greenfield,Baillieston,Glasgow Baillieston,1856,1821,2951,359,326,492
S01003350,Penilee,Craigton,Glasgow Pollok,3421,2206,2959,547,375,493
S01003381,Carntyne West and Haghill,East Centre,Glasgow Springburn,1874,2990,2961,361,469,494
S01003112,Cathcart,Langside,Glasgow Cathcart,4173,4109,2962,613,597,495
S01003434,Central Easterhouse,North East,Glasgow Baillieston,1490,1881,2969,295,337,496
S01003483,Craigend and Ruchazie,North East,Glasgow Baillieston,614,2050,2971,141,361,497
S01003177,Strathbungo,Pollokshields,Glasgow Govan,4702,4158,2972,651,600,498
S01003621,Possil Park,Canal,Glasgow Maryhill,3291,4477,2988,531,622,499
S01003287,Cardonald North,Craigton,Glasgow Pollok,3637,1828,2991,565,329,500
S01003496,Partick,Partick West,Glasgow Kelvin,2880,2156,2995,491,372,501
S01003385,Dennistoun,East Centre,Glasgow Springburn,2186,3153,2996,406,488,502
S01003073,Kingspark South,Linn,Glasgow Cathcart,4368,2148,2999,630,371,503
S01003517,Firhill,Hillhead,Glasgow Maryhill,2434,2773,3057,437,442,504
S01003152,Battlefield,Southside Central,Glasgow Cathcart,2138,2377,3058,395,398,505
S01003685,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,3361,4789,3062,539,652,506
S01003694,Blairdardie West,Drumchapel/Anniesland,Glasgow Anniesland,2038,4380,3068,384,616,507
S01003210,Maxwell Park,Pollokshields,Glasgow Govan,2048,601,3079,387,110,508
S01003162,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,3390,3473,3083,542,537,509
S01003537,Firhill,Canal,Glasgow Maryhill,3105,4211,3085,514,605,510
S01003587,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,3051,4133,3088,509,598,511
S01003119,Kingspark North,Langside,Glasgow Rutherglen,5017,3298,3094,670,513,512
S01003394,Easterhouse East,North East,Glasgow Baillieston,2780,3340,3120,480,519,513
S01003637,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,1043,3502,3139,224,539,514
S01003578,Barmulloch,North East,Glasgow Springburn,2198,931,3145,409,169,515
S01003034,Darnley East,Greater Pollok,Glasgow Pollok,4558,4776,3201,637,650,516
S01003513,Kelvingrove and University,Hillhead,Glasgow Kelvin,2213,2816,3223,411,452,517
S01003467,Craigend and Ruchazie,North East,Glasgow Baillieston,995,3940,3225,216,581,518
S01003602,Balornock,North East,Glasgow Springburn,3049,2396,3228,508,400,519
S01003218,Cardonald South and East,Craigton,Glasgow Pollok,3561,2904,3229,557,460,520
S01003292,Garrowhill West,Baillieston,Glasgow Baillieston,1936,1057,3238,372,193,521
S01003212,Mount Vernon North and Sandyhills,Baillieston,Glasgow Baillieston,4278,5016,3243,623,664,522
S01003362,Penilee,Craigton,Glasgow Pollok,3474,3251,3248,551,506,523
S01003393,Carntyne,East Centre,Glasgow Springburn,3128,2664,3251,517,429,524
S01003102,Kingspark North,Langside,Glasgow Rutherglen,4272,3506,3252,622,540,525
S01003312,Penilee,Craigton,Glasgow Pollok,2429,1601,3262,436,304,526
S01003278,Cardonald North,Craigton,Glasgow Pollok,1581,1890,3271,316,339,527
S01003654,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,3045,3227,3281,507,501,528
S01003103,Kingspark North,Langside,Glasgow Cathcart,4782,4672,3299,658,641,529
S01003447,City Centre East,Anderston/City,Glasgow Kelvin,714,1294,3300,164,242,530
S01003609,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,3360,4587,3303,538,633,531
S01003092,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,2904,4508,3305,495,625,532
S01003048,Castlemilk,Linn,Glasgow Cathcart,2607,1261,3310,454,237,533
S01003124,Battlefield,Langside,Glasgow Cathcart,3370,1727,3324,540,316,534
S01003196,Maxwell Park,Pollokshields,Glasgow Govan,2740,1134,3334,471,204,535
S01003476,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,1683,2317,3336,329,391,536
S01003516,Blackhill and Barmulloch East,North East,Glasgow Springburn,3677,5681,3338,568,687,537
S01003242,Kingston West and Dumbreck,Govan,Glasgow Govan,3312,3806,3348,533,571,538
S01003080,Kingspark South,Linn,Glasgow Cathcart,2304,2892,3349,425,459,539
S01003264,Mosspark,Govan,Glasgow Pollok,4044,4497,3353,599,623,540
S01003070,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,4983,4022,3362,667,590,541
S01003417,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,915,3138,3365,202,487,542
S01003203,Mosspark,Craigton,Glasgow Pollok,3799,4141,3368,580,599,543
S01003429,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,3852,3890,3376,581,576,544
S01003105,Kingspark North,Langside,Glasgow Rutherglen,2985,2210,3407,502,376,545
S01003499,Partick,Partick West,Glasgow Kelvin,4403,4535,3431,631,628,546
S01003283,Garrowhill West,Baillieston,Glasgow Baillieston,4517,5313,3435,634,675,547
S01003170,Maxwell Park,Pollokshields,Glasgow Govan,3044,3716,3447,506,562,548
S01003339,Hillington,Craigton,Glasgow Pollok,3415,4869,3450,544,654,549
S01003659,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,4185,5425,3451,615,680,550
S01003155,Pollok South and West,Greater Pollok,Glasgow Pollok,2573,4923,3466,448,659,551
S01003238,Cardonald West and Central,Craigton,Glasgow Pollok,2763,3586,3468,474,548,552
S01003091,Kingspark South,Linn,Glasgow Cathcart,4293,2604,3474,625,421,553
S01003406,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,2881,2995,3505,492,471,554
S01003235,Shettleston South,Shettleston,Glasgow Shettleston,3440,5712,3523,550,688,555
S01003597,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,4304,2456,3535,627,408,556
S01003149,Shawlands East,Langside,Glasgow Govan,3867,5054,3542,583,668,557
S01003668,Anniesland West,Garscadden/Scotstounhill,Glasgow Anniesland,3022,3000,3544,504,472,558
S01003638,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,5052,3247,3547,672,505,559
S01003530,Firhill,Canal,Glasgow Maryhill,3324,3630,3553,534,552,560
S01003613,Robroyston and Millerston,North East,Glasgow Springburn,2264,3393,3558,419,529,561
S01003237,Baillieston West,Baillieston,Glasgow Baillieston,3113,3553,3615,515,546,562
S01003661,Anniesland East,Maryhill/Kelvin,Glasgow Anniesland,4817,4297,3618,661,612,563
S01003234,Pollokshields West,Pollokshields,Glasgow Govan,2738,1863,3623,470,333,564
S01003093,Newlands,Newlands/Auldburn,Glasgow Cathcart,4024,3402,3633,596,531,565
S01003648,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,2633,4507,3646,457,624,566
S01003147,Crookston North,Greater Pollok,Glasgow Pollok,4252,3182,3668,620,494,567
S01003085,Cathcart,Linn,Glasgow Cathcart,2764,4360,3670,475,615,568
S01003527,Victoria Park,Partick West,Glasgow Anniesland,3706,3190,3677,569,495,569
S01003522,Dowanhill,Hillhead,Glasgow Kelvin,3736,3102,3678,573,483,570
S01003532,Victoria Park,Partick West,Glasgow Kelvin,3278,3093,3680,530,482,571
S01003642,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,4199,3625,3688,616,551,572
S01003122,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,4077,4703,3702,607,645,573
S01003318,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,4046,3938,3729,600,580,574
S01003087,Kingspark South,Linn,Glasgow Cathcart,2135,2652,3738,394,426,575
S01003129,Langside,Langside,Glasgow Govan,3488,2661,3741,552,428,576
S01003317,Barlanark,Baillieston,Glasgow Baillieston,2782,3255,3749,481,508,577
S01003037,Darnley West,Greater Pollok,Glasgow Pollok,3615,4728,3759,564,647,578
S01003325,Hillington,Craigton,Glasgow Pollok,2706,2868,3761,466,457,579
S01003682,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,2281,2740,3766,421,437,580
S01003195,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,3188,5132,3778,526,669,581
S01003631,Knightswood Park East,Garscadden/Scotstounhill,Glasgow Anniesland,3563,3570,3791,559,547,582
S01003132,Pollokshaws,Newlands/Auldburn,Glasgow Govan,2775,3399,3798,477,530,583
S01003178,Mosspark,Craigton,Glasgow Pollok,3092,2787,3810,513,444,584
S01003169,Pollok South and West,Greater Pollok,Glasgow Pollok,3079,3665,3814,512,555,585
S01003623,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,3796,4686,3818,579,644,586
S01003558,Dowanhill,Hillhead,Glasgow Kelvin,4745,3291,3824,653,512,587
S01003691,Summerston Central and West,Maryhill/Kelvin,Glasgow Maryhill,4514,4794,3828,633,653,588
S01003675,Anniesland East,Drumchapel/Anniesland,Glasgow Anniesland,2983,2125,3847,501,369,589
S01003229,Pollokshields West,Pollokshields,Glasgow Govan,4750,3691,3860,655,559,590
S01003053,Darnley North,Greater Pollok,Glasgow Pollok,3733,2385,3863,572,399,591
S01003148,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,2524,4027,3864,444,591,592
S01003485,Woodlands,Hillhead,Glasgow Maryhill,2929,3449,3866,496,535,593
S01003341,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,3565,3334,3883,560,518,594
S01003620,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,5131,5322,3954,675,676,595
S01003041,Darnley West,Greater Pollok,Glasgow Pollok,5020,3969,3979,671,584,596
S01003257,Pollokshields West,Pollokshields,Glasgow Govan,3612,3268,3990,563,510,597
S01003632,Anniesland East,Maryhill/Kelvin,Glasgow Anniesland,4223,3687,4036,618,558,598
S01003568,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,6177,2715,4048,693,434,599
S01003141,Langside,Langside,Glasgow Govan,3575,2431,4051,561,404,600
S01003594,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,2636,1720,4054,458,315,601
S01003197,Mount Vernon North and Sandyhills,Shettleston,Glasgow Baillieston,5074,4752,4060,673,648,602
S01003641,Robroyston and Millerston,North East,Glasgow Springburn,5370,5277,4066,680,674,603
S01003359,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,5406,4551,4089,682,630,604
S01003622,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,4150,4181,4105,610,602,605
S01003090,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,5622,4009,4125,686,586,606
S01003560,Broomhill,Partick West,Glasgow Kelvin,4237,3074,4128,619,480,607
S01003375,Drumoyne and Shieldhall,Govan,Glasgow Govan,4537,3714,4143,636,561,608
S01003649,Springburn East and Cowlairs,Canal,Glasgow Maryhill,4883,4273,4148,663,611,609
S01003715,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,4314,3308,4163,628,515,610
S01003266,Tollcross,Shettleston,Glasgow Shettleston,4012,3592,4166,594,549,611
S01003395,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,1849,3903,4167,356,577,612
S01003448,Riddrie and Hogganfield,East Centre,Glasgow Springburn,3883,4887,4172,584,655,613
S01003509,Kelvingrove and University,Hillhead,Glasgow Kelvin,4799,4569,4175,659,631,614
S01003074,Newlands,Newlands/Auldburn,Glasgow Cathcart,4140,4893,4179,609,656,615
S01003525,Partickhill and Hyndland,Partick West,Glasgow Kelvin,5535,3054,4199,685,477,616
S01003438,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,4183,2633,4238,614,424,617
S01003216,Cardonald West and Central,Craigton,Glasgow Pollok,2674,4968,4248,462,662,618
S01003201,Dalmarnock,Calton,Glasgow Shettleston,1774,4267,4250,343,610,619
S01003143,Mount Florida,Langside,Glasgow Cathcart,3155,2170,4257,522,373,620
S01003545,Dowanhill,Hillhead,Glasgow Kelvin,4596,3738,4281,641,566,621
S01003607,Balornock,North East,Glasgow Springburn,3371,3431,4314,541,534,622
S01003095,Newlands,Newlands/Auldburn,Glasgow Cathcart,3420,3672,4316,546,556,623
S01003125,Langside,Langside,Glasgow Cathcart,4100,3632,4317,608,553,624
S01003589,Kelvindale,Maryhill/Kelvin,Glasgow Anniesland,4031,3785,4321,597,570,625
S01003479,Hillhead,Partick West,Glasgow Kelvin,4914,4996,4323,664,663,626
S01003536,Partickhill and Hyndland,Hillhead,Glasgow Kelvin,5256,5033,4332,678,667,627
S01003295,Greenfield,Shettleston,Glasgow Baillieston,4068,3834,4335,604,572,628
S01003240,Cardonald West and Central,Craigton,Glasgow Pollok,3785,1468,4355,578,280,629
S01003133,Langside,Langside,Glasgow Govan,4048,4058,4364,601,592,630
S01003219,Mosspark,Craigton,Glasgow Pollok,4594,4233,4385,640,608,631
S01003168,Shawlands West,Pollokshields,Glasgow Govan,3987,5672,4395,590,686,632
S01003153,Maxwell Park,Pollokshields,Glasgow Govan,3947,3174,4397,588,491,633
S01003461,Riddrie and Hogganfield,East Centre,Glasgow Springburn,2628,5568,4401,456,683,634
S01003135,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,4698,4197,4411,650,604,635
S01003354,Old Shettleston and Parkhead North,East Centre,Glasgow Baillieston,3152,2825,4425,521,455,636
S01003078,Muirend and Old Cathcart,Newlands/Auldburn,Glasgow Cathcart,4874,5538,4460,662,682,637
S01003614,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,4008,3010,4481,593,473,638
S01003025,Carmunnock South,Linn,Glasgow Cathcart,4070,3208,4491,605,498,639
S01003071,Muirend and Old Cathcart,Newlands/Auldburn,Glasgow Cathcart,4771,5025,4492,657,665,640
S01003311,Garrowhill West,Baillieston,Glasgow Baillieston,1991,2452,4502,379,407,641
S01003344,Penilee,Craigton,Glasgow Pollok,3068,2987,4509,511,468,642
S01003529,Petershill,Springburn,Glasgow Springburn,3356,5258,4514,537,673,643
S01003528,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,3493,3204,4533,553,496,644
S01003123,Pollok South and West,Greater Pollok,Glasgow Pollok,4621,5407,4538,643,679,645
S01003639,Knightswood West,Garscadden/Scotstounhill,Glasgow Anniesland,3730,3032,4548,571,475,646
S01003109,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,4675,4653,4600,647,640,647
S01003110,Merrylee and Millbrae,Newlands/Auldburn,Glasgow Cathcart,4811,4759,4668,660,649,648
S01003544,North Kelvin,Canal,Glasgow Maryhill,3999,3124,4676,591,486,649
S01003145,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,5133,4018,4683,676,589,650
S01003321,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,4488,3860,4686,632,574,651
S01003288,Garrowhill West,Baillieston,Glasgow Baillieston,2987,6070,4806,503,691,652
S01003233,Mount Vernon North and Sandyhills,Shettleston,Glasgow Baillieston,5652,4178,4819,687,601,653
S01003100,Newlands,Newlands/Auldburn,Glasgow Cathcart,3888,4185,4826,585,603,654
S01003038,Darnley West,Greater Pollok,Glasgow Pollok,5684,5226,4828,688,671,655
S01003369,Old Shettleston and Parkhead North,East Centre,Glasgow Baillieston,4034,4232,4853,598,607,656
S01003616,Robroyston and Millerston,North East,Glasgow Springburn,4926,5405,4870,665,678,657
S01003570,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,3518,5213,4911,555,670,658
S01003503,Hillhead,Partick West,Glasgow Kelvin,4625,4582,4924,644,632,659
S01003252,Baillieston West,Baillieston,Glasgow Baillieston,6277,6103,4943,694,692,660
S01003323,Garrowhill West,Baillieston,Glasgow Baillieston,2059,5253,4985,388,672,661
S01003258,Baillieston West,Baillieston,Glasgow Baillieston,2825,4597,5028,484,635,662
S01003520,Partickhill and Hyndland,Hillhead,Glasgow Kelvin,4601,3927,5094,642,579,663
S01003552,Kelvinside and Jordanhill,Hillhead,Glasgow Kelvin,5098,4594,5122,674,634,664
S01003554,North Kelvin,Canal,Glasgow Maryhill,5509,4059,5143,684,593,665
S01003224,Mount Vernon North and Sandyhills,Shettleston,Glasgow Baillieston,4688,5444,5147,649,681,666
S01003209,Mosspark,Craigton,Glasgow Pollok,2760,4631,5172,473,638,667
S01003061,Carmunnock North,Linn,Glasgow Cathcart,5799,3617,5178,689,550,668
S01003569,Victoria Park,Partick West,Glasgow Anniesland,4564,4520,5190,638,626,669
S01003539,Broomhill,Partick West,Glasgow Kelvin,4633,4957,5204,645,661,670
S01003676,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,4172,3731,5296,612,564,671
S01003591,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,5257,5577,5364,679,684,672
S01003066,Muirend and Old Cathcart,Linn,Glasgow Cathcart,6018,5354,5371,692,677,673
S01003027,Darnley East,Greater Pollok,Glasgow Pollok,4645,5606,5408,646,685,674
S01003260,Mount Vernon North and Sandyhills,Shettleston,Glasgow Baillieston,2832,4906,5444,485,657,675
S01003276,Garrowhill West,Baillieston,Glasgow Baillieston,3160,4684,5606,523,643,676
S01003612,Anniesland East,Maryhill/Kelvin,Glasgow Anniesland,4940,2525,5609,666,414,677
S01003550,Robroyston and Millerston,North East,Glasgow Springburn,5832,3316,5642,690,517,678
S01003667,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,3647,4472,5688,566,621,679
S01003588,Robroyston and Millerston,North East,Glasgow Springburn,4761,4602,5690,656,636,680
S01003059,Muirend and Old Cathcart,Newlands/Auldburn,Glasgow Cathcart,5437,4925,5700,683,660,681
S01003700,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,3546,3258,5765,556,509,682
S01003068,Carmunnock North,Linn,Glasgow Cathcart,2624,3280,5868,455,511,683
S01003699,Summerston Central and West,Maryhill/Kelvin,Glasgow Maryhill,5387,5726,5931,681,689,684
S01003180,Shettleston South,Shettleston,Glasgow Shettleston,4334,4236,6012,629,609,685
S01003081,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,4072,4679,6024,606,642,686
S01003241,Shettleston South,Shettleston,Glasgow Shettleston,5212,4536,6062,677,629,687
S01003660,Robroyston and Millerston,North East,Glasgow Springburn,5969,6409,6075,691,693,688
S01003050,Carmunnock North,Linn,Glasgow Cathcart,4288,4212,6161,624,606,689
S01003330,Garrowhill East and Swinton,Baillieston,Glasgow Baillieston,5007,5919,6381,668,690,690
S01003405,Easterhouse East,North East,Glasgow Baillieston,4201,4709,6439,617,646,691
S01003031,Glenwood South,Linn,Glasgow Cathcart,1884,6493,6487,366,694,692
S01003319,Craigton,Govan,Glasgow Govan,195,1496,6487,39,285,692
S01003505,Sighthill,Springburn,Glasgow Springburn,679,3346,6487,159,520,692
