Datazone,Intermediate geography name,Multi-member ward name,2011 Scottish Parliamentary Constituencies,housing_deprivation_rank_2004,housing_deprivation_rank_2006,housing_deprivation_rank_2009,housing_deprivation_rank_2012,housing_local_rank_2004,housing_local_rank_2006,housing_local_rank_2009,housing_local_rank_2012
S01003514,Dowanhill,Hillhead,Glasgow Kelvin,346,346,346,346,236,236,236,236
S01003432,Finnieston and Kelvinhaugh,Anderston/City,Glasgow Kelvin,350,350,350,350,237,237,237,237
S01003270,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,351,351,351,351,238,238,238,238
S01003530,Firhill,Canal,Glasgow Maryhill,353,353,353,353,239,239,239,239
S01003473,Woodside,Hillhead,Glasgow Maryhill,354,354,354,354,240,240,240,240
S01003221,Cardonald South and East,Craigton,Glasgow Pollok,355,355,355,355,241,241,241,241
S01003306,Craigton,Govan,Glasgow Pollok,356,356,356,356,242,242,242,242
S01003475,Woodside,Hillhead,Glasgow Maryhill,357,357,357,357,243,243,243,243
S01003663,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,359,359,359,359,244,244,244,244
S01003698,Blairdardie West,Drumchapel/Anniesland,Glasgow Anniesland,360,360,360,360,245,245,245,245
S01003202,Toryglen and Oatlands,Southside Central,Glasgow Shettleston,361,361,361,361,246,246,246,246
S01003673,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,363,363,363,363,247,247,247,247
S01003124,Battlefield,Langside,Glasgow Cathcart,364,364,364,364,248,248,248,248
S01003548,Barmulloch,Springburn,Glasgow Springburn,365,365,365,365,249,249,249,249
S01003380,Dennistoun,East Centre,Glasgow Springburn,366,366,366,366,250,250,250,250
S01003076,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,371,371,371,371,251,251,251,251
S01003290,Tollcross,Shettleston,Glasgow Shettleston,372,372,372,372,252,252,252,252
S01003533,Petershill,Springburn,Glasgow Springburn,373,373,373,373,253,253,253,253
S01003553,Keppochhill,Canal,Glasgow Maryhill,375,375,375,375,254,254,254,254
S01003629,Possil Park,Canal,Glasgow Maryhill,376,376,376,376,255,255,255,255
S01003358,City Centre East,Anderston/City,Glasgow Kelvin,378,378,378,378,256,256,256,256
S01003381,Carntyne West and Haghill,East Centre,Glasgow Springburn,379,379,379,379,257,257,257,257
S01003489,Blackhill and Barmulloch East,North East,Glasgow Springburn,381,381,381,381,258,258,258,258
S01003563,Barmulloch,North East,Glasgow Springburn,382,382,382,382,259,259,259,259
S01003488,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,383,383,383,383,260,260,260,260
S01003223,Braidfauld,Shettleston,Glasgow Shettleston,385,385,385,385,261,261,261,261
S01003047,Carmunnock South,Linn,Glasgow Cathcart,392,392,392,392,262,262,262,262
S01003194,Braidfauld,Shettleston,Glasgow Shettleston,394,394,394,394,263,263,263,263
S01003191,Govanhill West,Southside Central,Glasgow Shettleston,396,396,396,396,264,264,264,264
S01003178,Mosspark,Craigton,Glasgow Pollok,399,399,399,399,265,265,265,265
S01003281,Tollcross,Shettleston,Glasgow Shettleston,401,401,401,401,266,266,266,266
S01003586,Scotstoun North and East,Garscadden/Scotstounhill,Glasgow Kelvin,402,402,402,402,267,267,267,267
S01003121,Crookston South,Greater Pollok,Glasgow Pollok,403,403,403,403,268,268,268,268
S01003579,Keppochhill,Canal,Glasgow Maryhill,404,404,404,404,269,269,269,269
S01003273,Parkhead West and Barrowfield,Calton,Glasgow Shettleston,405,405,405,405,270,270,270,270
S01003399,City Centre East,Anderston/City,Glasgow Kelvin,406,406,406,406,271,271,271,271
S01003136,Mount Florida,Langside,Glasgow Cathcart,407,407,407,407,272,272,272,272
S01003610,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,408,408,408,408,273,273,273,273
S01003664,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,409,409,409,409,274,274,274,274
S01003159,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,410,410,410,410,275,275,275,275
S01003648,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,412,412,412,412,276,276,276,276
S01003595,Possil Park,Canal,Glasgow Maryhill,414,414,414,414,277,277,277,277
S01003711,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,418,418,418,418,278,278,278,278
S01003412,Govan and Linthouse,Govan,Glasgow Govan,420,420,420,420,279,279,279,279
S01003118,Pollokshaws,Newlands/Auldburn,Glasgow Govan,422,422,422,422,280,280,280,280
S01003297,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,423,423,423,423,281,281,281,281
S01003515,Blackhill and Barmulloch East,North East,Glasgow Springburn,425,425,425,425,282,282,282,282
S01003349,Drumoyne and Shieldhall,Govan,Glasgow Govan,426,426,426,426,283,283,283,283
S01003443,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,428,428,428,428,284,284,284,284
S01003144,Crookston North,Greater Pollok,Glasgow Pollok,429,429,429,429,285,285,285,285
S01003143,Mount Florida,Langside,Glasgow Cathcart,432,432,432,432,286,286,286,286
S01003674,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,433,433,433,433,287,287,287,287
S01003225,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,434,434,434,434,288,288,288,288
S01003484,Kelvingrove and University,Hillhead,Glasgow Kelvin,436,436,436,436,289,289,289,289
S01003395,Dennistoun North and Alexandra Parade,East Centre,Glasgow Springburn,438,438,438,438,290,290,290,290
S01003625,Wyndford,Maryhill/Kelvin,Glasgow Maryhill,440,440,440,440,291,291,291,291
S01003137,Shawlands East,Langside,Glasgow Govan,441,441,441,441,292,292,292,292
S01003508,Partick,Partick West,Glasgow Kelvin,442,442,442,442,293,293,293,293
S01003339,Hillington,Craigton,Glasgow Pollok,446,446,446,446,294,294,294,294
S01003598,Barmulloch,North East,Glasgow Springburn,448,448,448,448,295,295,295,295
S01003160,Crookston North,Greater Pollok,Glasgow Pollok,449,449,449,449,296,296,296,296
S01003517,Firhill,Hillhead,Glasgow Maryhill,451,451,451,451,297,297,297,297
S01003092,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,452,452,452,452,298,298,298,298
S01003634,Balornock,North East,Glasgow Springburn,454,454,454,454,299,299,299,299
S01003493,Whiteinch,Partick West,Glasgow Kelvin,455,455,455,455,300,300,300,300
S01003665,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,456,456,456,456,301,301,301,301
S01003386,Drumoyne and Shieldhall,Govan,Glasgow Govan,457,457,457,457,302,302,302,302
S01003375,Drumoyne and Shieldhall,Govan,Glasgow Govan,460,460,460,460,303,303,303,303
S01003592,Ruchill,Canal,Glasgow Maryhill,464,464,464,464,304,304,304,304
S01003492,Cowlairs and Port Dundas,Springburn,Glasgow Springburn,465,465,465,465,305,305,305,305
S01003583,Blackhill and Barmulloch East,North East,Glasgow Springburn,467,467,467,467,306,306,306,306
S01003408,Anderston,Anderston/City,Glasgow Kelvin,468,468,468,468,307,307,307,307
S01003601,Springburn East and Cowlairs,Springburn,Glasgow Springburn,470,470,470,470,308,308,308,308
S01003416,City Centre East,Anderston/City,Glasgow Springburn,476,476,476,476,309,309,309,309
S01003546,Cowlairs and Port Dundas,Canal,Glasgow Maryhill,476,476,476,476,309,309,309,309
S01003162,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,481,481,481,481,311,311,311,311
S01003293,Shettleston North,Shettleston,Glasgow Shettleston,483,483,483,483,312,312,312,312
S01003373,City Centre West,Anderston/City,Glasgow Kelvin,484,484,484,484,313,313,313,313
S01003382,Anderston,Anderston/City,Glasgow Kelvin,487,487,487,487,314,314,314,314
S01003350,Penilee,Craigton,Glasgow Pollok,488,488,488,488,315,315,315,315
S01003718,Drumry East,Drumchapel/Anniesland,Glasgow Anniesland,490,490,490,490,316,316,316,316
S01003286,Kingston West and Dumbreck,Pollokshields,Glasgow Govan,491,491,491,491,317,317,317,317
S01003564,Keppochhill,Canal,Glasgow Maryhill,493,493,493,493,318,318,318,318
S01003064,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,494,494,494,494,319,319,319,319
S01003602,Balornock,North East,Glasgow Springburn,497,497,497,497,320,320,320,320
S01003541,Petershill,Springburn,Glasgow Springburn,498,498,498,498,321,321,321,321
S01003312,Penilee,Craigton,Glasgow Pollok,499,499,499,499,322,322,322,322
S01003069,Carnwadric East,Newlands/Auldburn,Glasgow Cathcart,500,500,500,500,323,323,323,323
S01003628,Balornock,North East,Glasgow Springburn,501,501,501,501,324,324,324,324
S01003462,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,502,502,502,502,325,325,325,325
S01003377,"Cranhill, Lightburn and Queenslie South",Baillieston,Glasgow Baillieston,503,503,503,503,326,326,326,326
S01003083,Nitshill,Greater Pollok,Glasgow Pollok,504,504,504,504,327,327,327,327
S01003328,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,506,506,506,506,328,328,328,328
S01003599,Possil Park,Canal,Glasgow Maryhill,509,509,509,509,329,329,329,329
S01003354,Old Shettleston and Parkhead North,East Centre,Glasgow Baillieston,511,511,511,511,330,330,330,330
S01003126,Pollokshaws,Newlands/Auldburn,Glasgow Govan,513,513,513,513,331,331,331,331
S01003238,Cardonald West and Central,Craigton,Glasgow Pollok,514,514,514,514,332,332,332,332
S01003445,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,515,515,515,515,333,333,333,333
S01003421,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,516,516,516,516,334,334,334,334
S01003033,Glenwood South,Linn,Glasgow Cathcart,518,518,518,518,335,335,335,335
S01003453,Woodlands,Anderston/City,Glasgow Kelvin,519,519,519,519,336,336,336,336
S01003214,Baillieston West,Baillieston,Glasgow Baillieston,522,522,522,522,337,337,337,337
S01003566,Ruchill,Canal,Glasgow Maryhill,523,523,523,523,338,338,338,338
S01003678,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,524,524,524,524,339,339,339,339
S01003152,Battlefield,Southside Central,Glasgow Cathcart,525,525,525,525,340,340,340,340
S01003567,Cowlairs and Port Dundas,Canal,Glasgow Maryhill,526,526,526,526,341,341,341,341
S01003590,Yoker South,Garscadden/Scotstounhill,Glasgow Anniesland,527,527,527,527,342,342,342,342
S01003056,Darnley East,Greater Pollok,Glasgow Pollok,529,529,529,529,343,343,343,343
S01003676,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,530,530,530,530,344,344,344,344
S01003228,Braidfauld,Shettleston,Glasgow Shettleston,531,531,531,531,345,345,345,345
S01003481,Partick,Partick West,Glasgow Kelvin,533,533,533,533,346,346,346,346
S01003639,Knightswood West,Garscadden/Scotstounhill,Glasgow Anniesland,535,535,535,535,347,347,347,347
S01003655,Balornock,North East,Glasgow Springburn,537,537,537,537,348,348,348,348
S01003391,Dennistoun,East Centre,Glasgow Springburn,538,538,538,538,349,349,349,349
S01003043,Glenwood North,Linn,Glasgow Cathcart,541,541,541,541,350,350,350,350
S01003535,Whiteinch,Partick West,Glasgow Kelvin,542,542,542,542,351,351,351,351
S01003044,Glenwood North,Linn,Glasgow Cathcart,545,545,545,545,352,352,352,352
S01003029,Carmunnock South,Linn,Glasgow Cathcart,547,547,547,547,353,353,353,353
S01003671,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,548,548,548,548,354,354,354,354
S01003495,Sighthill,Springburn,Glasgow Springburn,549,549,549,549,355,355,355,355
S01003577,Barmulloch,North East,Glasgow Springburn,558,558,558,558,356,356,356,356
S01003710,Summerston Central and West,Canal,Glasgow Maryhill,560,560,560,560,357,357,357,357
S01003538,Blackhill and Barmulloch East,North East,Glasgow Springburn,561,561,561,561,358,358,358,358
S01003708,Drumchapel North,Drumchapel/Anniesland,Glasgow Anniesland,563,563,563,563,359,359,359,359
S01003285,Gorbals and Hutchesontown,Southside Central,Glasgow Shettleston,565,565,565,565,360,360,360,360
S01003217,Dalmarnock,Calton,Glasgow Shettleston,566,566,566,566,361,361,361,361
S01003247,Parkhead East and Braidfauld North,Calton,Glasgow Shettleston,567,567,567,567,362,362,362,362
S01003175,Govanhill East and Aikenhead,Southside Central,Glasgow Shettleston,568,568,568,568,363,363,363,363
S01003497,Kelvingrove and University,Partick West,Glasgow Kelvin,570,570,570,570,364,364,364,364
S01003344,Penilee,Craigton,Glasgow Pollok,571,571,571,571,365,365,365,365
S01003251,Dalmarnock,Calton,Glasgow Shettleston,572,572,572,572,366,366,366,366
S01003522,Dowanhill,Hillhead,Glasgow Kelvin,573,573,573,573,367,367,367,367
S01003156,Battlefield,Langside,Glasgow Cathcart,578,578,578,578,368,368,368,368
S01003289,Parkhead East and Braidfauld North,Shettleston,Glasgow Shettleston,579,579,579,579,369,369,369,369
S01003213,Braidfauld,Shettleston,Glasgow Shettleston,580,580,580,580,370,370,370,370
S01003361,Greenfield,Baillieston,Glasgow Baillieston,581,581,581,581,371,371,371,371
S01003255,Cardonald South and East,Craigton,Glasgow Pollok,587,587,587,587,372,372,372,372
S01003503,Hillhead,Partick West,Glasgow Kelvin,588,588,588,588,373,373,373,373
S01003643,Maryhill West,Maryhill/Kelvin,Glasgow Maryhill,590,590,590,590,374,374,374,374
S01003411,Drumoyne and Shieldhall,Govan,Glasgow Govan,591,591,591,591,375,375,375,375
S01003145,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,592,592,592,592,376,376,376,376
S01003413,"Cranhill, Lightburn and Queenslie South",East Centre,Glasgow Baillieston,593,593,593,593,377,377,377,377
S01003147,Crookston North,Greater Pollok,Glasgow Pollok,594,594,594,594,378,378,378,378
S01003187,Strathbungo,Pollokshields,Glasgow Govan,598,598,598,598,379,379,379,379
S01003561,Keppochhill,Canal,Glasgow Maryhill,599,599,599,599,380,380,380,380
S01003244,Baillieston East,Baillieston,Glasgow Baillieston,600,600,600,600,381,381,381,381
S01003065,Muirend and Old Cathcart,Linn,Glasgow Cathcart,601,601,601,601,382,382,382,382
S01003248,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,602,602,602,602,383,383,383,383
S01003338,Kinning Park and Festival Park,Govan,Glasgow Govan,603,603,603,603,384,384,384,384
S01003334,Penilee,Craigton,Glasgow Pollok,604,604,604,604,385,385,385,385
S01003036,Glenwood South,Linn,Glasgow Cathcart,605,605,605,605,386,386,386,386
S01003226,Braidfauld,Calton,Glasgow Shettleston,606,606,606,606,387,387,387,387
S01003677,Milton East,Canal,Glasgow Maryhill,608,608,608,608,388,388,388,388
S01003467,Craigend and Ruchazie,North East,Glasgow Baillieston,609,609,609,609,389,389,389,389
S01003691,Summerston Central and West,Maryhill/Kelvin,Glasgow Maryhill,615,615,615,615,390,390,390,390
S01003537,Firhill,Canal,Glasgow Maryhill,616,616,616,616,391,391,391,391
S01003062,Darnley North,Greater Pollok,Glasgow Pollok,617,617,617,617,392,392,392,392
S01003055,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,618,618,618,618,393,393,393,393
S01003164,Battlefield,Southside Central,Glasgow Shettleston,619,619,619,619,394,394,394,394
S01003667,Yoker North,Garscadden/Scotstounhill,Glasgow Anniesland,620,620,620,620,395,395,395,395
S01003335,"Calton, Gallowgate and Bridgeton",Calton,Glasgow Shettleston,621,621,621,621,396,396,396,396
S01003688,Summerston North,Maryhill/Kelvin,Glasgow Maryhill,622,622,622,622,397,397,397,397
S01003573,Springburn,Springburn,Glasgow Springburn,630,630,630,630,398,398,398,398
S01003205,Dalmarnock,Calton,Glasgow Shettleston,634,634,634,634,399,399,399,399
S01003294,Craigton,Govan,Glasgow Pollok,637,637,637,637,400,400,400,400
S01003310,Cardonald North,Craigton,Glasgow Pollok,640,640,640,640,401,401,401,401
S01003440,Riddrie and Hogganfield,East Centre,Glasgow Springburn,641,641,641,641,402,402,402,402
S01003637,Anniesland West,Drumchapel/Anniesland,Glasgow Anniesland,642,642,642,642,403,403,403,403
S01003131,Battlefield,Langside,Glasgow Cathcart,644,644,644,644,404,404,404,404
S01003309,Old Shettleston and Parkhead North,Shettleston,Glasgow Shettleston,645,645,645,645,405,405,405,405
S01003506,Firhill,Hillhead,Glasgow Maryhill,646,646,646,646,406,406,406,406
S01003588,Robroyston and Millerston,North East,Glasgow Springburn,647,647,647,647,407,407,407,407
S01003547,North Kelvin,Canal,Glasgow Maryhill,652,652,652,652,408,408,408,408
S01003469,Glasgow Harbour and  Partick South,Partick West,Glasgow Kelvin,656,656,656,656,409,409,409,409
S01003624,Possil Park,Canal,Glasgow Maryhill,659,659,659,659,410,410,410,410
S01003267,Shettleston North,Shettleston,Glasgow Shettleston,662,662,662,662,411,411,411,411
S01003246,Shettleston North,Shettleston,Glasgow Shettleston,664,664,664,664,412,412,412,412
S01003300,Baillieston East,Baillieston,Glasgow Baillieston,665,665,665,665,413,413,413,413
S01003696,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,666,666,666,666,414,414,414,414
S01003574,Ruchill,Canal,Glasgow Maryhill,668,668,668,668,415,415,415,415
S01003480,Whiteinch,Partick West,Glasgow Kelvin,674,674,674,674,416,416,416,416
S01003442,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,676,676,676,676,417,417,417,417
S01003690,Knightswood Park West,Drumchapel/Anniesland,Glasgow Anniesland,679,679,679,679,418,418,418,418
S01003075,Kingspark South,Linn,Glasgow Cathcart,682,682,682,682,419,419,419,419
S01003451,Hillhead,Partick West,Glasgow Kelvin,686,686,686,686,420,420,420,420
S01003607,Balornock,North East,Glasgow Springburn,688,688,688,688,421,421,421,421
S01003490,Woodside,Hillhead,Glasgow Maryhill,689,689,689,689,422,422,422,422
S01003605,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,691,691,691,691,423,423,423,423
S01003580,Springburn East and Cowlairs,Springburn,Glasgow Springburn,692,692,692,692,424,424,424,424
S01003254,Dalmarnock,Calton,Glasgow Shettleston,702,702,702,702,425,425,425,425
S01003436,Drumoyne and Shieldhall,Govan,Glasgow Govan,704,704,704,704,426,426,426,426
S01003150,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,706,706,706,706,427,427,427,427
S01003611,Springburn East and Cowlairs,Springburn,Glasgow Springburn,707,707,707,707,428,428,428,428
S01003111,Nitshill,Greater Pollok,Glasgow Pollok,710,710,710,710,429,429,429,429
S01003104,Pollokshaws,Newlands/Auldburn,Glasgow Cathcart,711,711,711,711,430,430,430,430
S01003670,Maryhill East,Maryhill/Kelvin,Glasgow Maryhill,713,713,713,713,431,431,431,431
S01003345,Hillington,Craigton,Glasgow Pollok,716,716,716,716,432,432,432,432
S01003161,Crookston North,Greater Pollok,Glasgow Pollok,717,717,717,717,433,433,433,433
S01003458,"Roystonhill, Blochairn, and Provanmill",Springburn,Glasgow Springburn,720,720,720,720,434,434,434,434
S01003215,Pollok North and East,Craigton,Glasgow Pollok,722,722,722,722,435,435,435,435
S01003039,Darnley East,Greater Pollok,Glasgow Pollok,724,724,724,724,436,436,436,436
S01003040,Castlemilk,Linn,Glasgow Cathcart,725,725,725,725,437,437,437,437
S01003218,Cardonald South and East,Craigton,Glasgow Pollok,728,728,728,728,438,438,438,438
S01003336,Greenfield,Baillieston,Glasgow Baillieston,729,729,729,729,439,439,439,439
S01003303,Laurieston and Tradeston,Govan,Glasgow Govan,731,731,731,731,440,440,440,440
S01003439,City Centre East,Anderston/City,Glasgow Kelvin,733,733,733,733,441,441,441,441
S01003063,Castlemilk,Linn,Glasgow Cathcart,735,735,735,735,442,442,442,442
S01003692,Blairdardie East,Drumchapel/Anniesland,Glasgow Anniesland,737,737,737,737,443,443,443,443
S01003049,Castlemilk,Linn,Glasgow Cathcart,741,741,741,741,444,444,444,444
S01003448,Riddrie and Hogganfield,East Centre,Glasgow Springburn,746,746,746,746,445,445,445,445
S01003571,Scotstoun South and West,Garscadden/Scotstounhill,Glasgow Kelvin,752,752,752,752,446,446,446,446
S01003072,Carnwadric West,Newlands/Auldburn,Glasgow Cathcart,757,757,757,757,447,447,447,447
S01003518,Whiteinch,Partick West,Glasgow Kelvin,759,759,759,759,448,448,448,448
S01003135,Toryglen and Oatlands,Southside Central,Glasgow Rutherglen,765,765,765,765,449,449,449,449
S01003139,Shawlands West,Pollokshields,Glasgow Govan,771,771,771,771,450,450,450,450
S01003651,Knightswood Park East,Garscadden/Scotstounhill,Glasgow Anniesland,783,783,783,783,451,451,451,451
S01003554,North Kelvin,Canal,Glasgow Maryhill,793,793,793,793,452,452,452,452
S01003393,Carntyne,East Centre,Glasgow Springburn,797,797,797,797,453,453,453,453
S01003686,Summerston Central and West,Maryhill/Kelvin,Glasgow Maryhill,803,803,803,803,454,454,454,454
S01003291,Penilee,Craigton,Glasgow Pollok,813,813,813,813,455,455,455,455
S01003346,Craigton,Govan,Glasgow Govan,819,819,819,819,456,456,456,456
S01003627,Springburn East and Cowlairs,Springburn,Glasgow Springburn,820,820,820,820,457,457,457,457
S01003148,Carmyle and Mount Vernon South,Shettleston,Glasgow Baillieston,822,822,822,822,458,458,458,458
S01003603,Knightswood East,Garscadden/Scotstounhill,Glasgow Anniesland,827,827,827,827,459,459,459,459
S01003091,Kingspark South,Linn,Glasgow Cathcart,835,835,835,835,460,460,460,460
S01003035,Glenwood South,Linn,Glasgow Cathcart,839,839,839,839,461,461,461,461
S01003088,Nitshill,Greater Pollok,Glasgow Pollok,844,844,844,844,462,462,462,462
S01003715,Drumry West,Drumchapel/Anniesland,Glasgow Anniesland,845,845,845,845,463,463,463,463
S01003699,Summerston Central and West,Maryhill/Kelvin,Glasgow Maryhill,846,846,846,846,464,464,464,464
S01003362,Penilee,Craigton,Glasgow Pollok,856,856,856,856,465,465,465,465
S01003476,"Garthamlock, Auchinlea and Gartloch",North East,Glasgow Baillieston,857,857,857,857,466,466,466,466
S01003275,Shettleston North,Shettleston,Glasgow Shettleston,859,859,859,859,467,467,467,467
S01003087,Kingspark South,Linn,Glasgow Cathcart,862,862,862,862,468,468,468,468
S01003614,Kelvinside and Jordanhill,Partick West,Glasgow Anniesland,864,864,864,864,469,469,469,469
